PATIENT_SEEN_END_DATE,GEOGRAPHY,ORG_CODE,PARENTCODE_1,PARENTCODE_2,PATIENT_TYPE,VALUE
30-Apr-18,NHS,02W,Q72,Y54,TOTAL_POPULATION,84904
30-Apr-18,NHS,02X,Q72,Y54,ADULT_24_months,162197
30-Apr-18,NHS,02X,Q72,Y54,ADULT_POPULATION,240936
30-Apr-18,NHS,02X,Q72,Y54,CHILD_12_months,43505
30-Apr-18,NHS,02X,Q72,Y54,CHILD_POPULATION,65461
30-Apr-18,NHS,02X,Q72,Y54,TOTAL,205702
30-Apr-18,NHS,02X,Q72,Y54,TOTAL_POPULATION,306397
30-Apr-18,NHS,02Y,Q72,Y54,ADULT_24_months,125740
30-Apr-18,NHS,02Y,Q72,Y54,ADULT_POPULATION,257091
30-Apr-18,NHS,02Y,Q72,Y54,CHILD_12_months,33778
30-Apr-18,NHS,02Y,Q72,Y54,CHILD_POPULATION,58770
30-Apr-18,NHS,02Y,Q72,Y54,TOTAL,159518
30-Apr-18,NHS,02Y,Q72,Y54,TOTAL_POPULATION,315861
30-Apr-18,NHS,03A,Q72,Y54,ADULT_24_months,106480
30-Apr-18,NHS,03A,Q72,Y54,ADULT_POPULATION,192677
30-Apr-18,NHS,03A,Q72,Y54,CHILD_12_months,35420
30-Apr-18,NHS,03A,Q72,Y54,CHILD_POPULATION,52365
30-Apr-18,NHS,03A,Q72,Y54,TOTAL,141900
30-Apr-18,NHS,03A,Q72,Y54,TOTAL_POPULATION,245042
30-Apr-18,NHS,03D,Q72,Y54,ADULT_24_months,57673
30-Apr-18,NHS,03D,Q72,Y54,ADULT_POPULATION,125143
30-Apr-18,NHS,03D,Q72,Y54,CHILD_12_months,17689
30-Apr-18,NHS,03D,Q72,Y54,CHILD_POPULATION,28022
30-Apr-18,NHS,03D,Q72,Y54,TOTAL,75362
30-Apr-18,NHS,03D,Q72,Y54,TOTAL_POPULATION,153165
30-Apr-18,NHS,03E,Q72,Y54,ADULT_24_months,54476
30-Apr-18,NHS,03E,Q72,Y54,ADULT_POPULATION,123553
30-Apr-18,NHS,03E,Q72,Y54,CHILD_12_months,17898
30-Apr-18,NHS,03E,Q72,Y54,CHILD_POPULATION,32759
30-Apr-18,NHS,03E,Q72,Y54,TOTAL,72374
30-Apr-18,NHS,03E,Q72,Y54,TOTAL_POPULATION,156312
30-Apr-18,NHS,03F,Q72,Y54,ADULT_24_months,141862
30-Apr-18,NHS,03F,Q72,Y54,ADULT_POPULATION,204153
30-Apr-18,NHS,03F,Q72,Y54,CHILD_12_months,38776
30-Apr-18,NHS,03F,Q72,Y54,CHILD_POPULATION,56087
30-Apr-18,NHS,03F,Q72,Y54,TOTAL,180638
30-Apr-18,NHS,03F,Q72,Y54,TOTAL_POPULATION,260240
30-Apr-18,NHS,03H,Q72,Y54,ADULT_24_months,69113
30-Apr-18,NHS,03H,Q72,Y54,ADULT_POPULATION,124933
30-Apr-18,NHS,03H,Q72,Y54,CHILD_12_months,19822
30-Apr-18,NHS,03H,Q72,Y54,CHILD_POPULATION,34211
30-Apr-18,NHS,03H,Q72,Y54,TOTAL,88935
30-Apr-18,NHS,03H,Q72,Y54,TOTAL_POPULATION,159144
30-Apr-18,NHS,03J,Q72,Y54,ADULT_24_months,81749
30-Apr-18,NHS,03J,Q72,Y54,ADULT_POPULATION,145178
30-Apr-18,NHS,03J,Q72,Y54,CHILD_12_months,31994
30-Apr-18,NHS,03J,Q72,Y54,CHILD_POPULATION,46827
30-Apr-18,NHS,03J,Q72,Y54,TOTAL,113743
30-Apr-18,NHS,03J,Q72,Y54,TOTAL_POPULATION,192005
30-Apr-18,NHS,03K,Q72,Y54,ADULT_24_months,55022
30-Apr-18,NHS,03K,Q72,Y54,ADULT_POPULATION,135408
30-Apr-18,NHS,03K,Q72,Y54,CHILD_12_months,17585
30-Apr-18,NHS,03K,Q72,Y54,CHILD_POPULATION,35378
30-Apr-18,NHS,03K,Q72,Y54,TOTAL,72607
30-Apr-18,NHS,03K,Q72,Y54,TOTAL_POPULATION,170786
30-Apr-18,NHS,03L,Q72,Y54,ADULT_24_months,122637
30-Apr-18,NHS,03L,Q72,Y54,ADULT_POPULATION,205337
30-Apr-18,NHS,03L,Q72,Y54,CHILD_12_months,35183
30-Apr-18,NHS,03L,Q72,Y54,CHILD_POPULATION,56593
30-Apr-18,NHS,03L,Q72,Y54,TOTAL,157820
30-Apr-18,NHS,03L,Q72,Y54,TOTAL_POPULATION,261930
30-Apr-18,NHS,03M,Q72,Y54,ADULT_24_months,38616
30-Apr-18,NHS,03M,Q72,Y54,ADULT_POPULATION,90612
30-Apr-18,NHS,03M,Q72,Y54,CHILD_12_months,11576
30-Apr-18,NHS,03M,Q72,Y54,CHILD_POPULATION,20741
30-Apr-18,NHS,03M,Q72,Y54,TOTAL,50192
30-Apr-18,NHS,03M,Q72,Y54,TOTAL_POPULATION,111353
30-Apr-18,NHS,03N,Q72,Y54,ADULT_24_months,269612
30-Apr-18,NHS,03N,Q72,Y54,ADULT_POPULATION,459122
30-Apr-18,NHS,03N,Q72,Y54,CHILD_12_months,77648
30-Apr-18,NHS,03N,Q72,Y54,CHILD_POPULATION,116302
30-Apr-18,NHS,03N,Q72,Y54,TOTAL,347260
30-Apr-18,NHS,03N,Q72,Y54,TOTAL_POPULATION,575424
30-Apr-18,NHS,03Q,Q72,Y54,ADULT_24_months,156241
30-Apr-18,NHS,03Q,Q72,Y54,ADULT_POPULATION,291879
30-Apr-18,NHS,03Q,Q72,Y54,CHILD_12_months,43950
30-Apr-18,NHS,03Q,Q72,Y54,CHILD_POPULATION,66051
30-Apr-18,NHS,03Q,Q72,Y54,TOTAL,200191
30-Apr-18,NHS,03Q,Q72,Y54,TOTAL_POPULATION,357930
30-Apr-18,NHS,03R,Q72,Y54,ADULT_24_months,170510
30-Apr-18,NHS,03R,Q72,Y54,ADULT_POPULATION,266352
30-Apr-18,NHS,03R,Q72,Y54,CHILD_12_months,47001
30-Apr-18,NHS,03R,Q72,Y54,CHILD_POPULATION,70482
30-Apr-18,NHS,03R,Q72,Y54,TOTAL,217511
30-Apr-18,NHS,03R,Q72,Y54,TOTAL_POPULATION,336834
30-Apr-18,NHS,15F,Q72,Y54,ADULT_24_months,335339
30-Apr-18,NHS,15F,Q72,Y54,ADULT_POPULATION,616937
30-Apr-18,NHS,15F,Q72,Y54,CHILD_12_months,108185
30-Apr-18,NHS,15F,Q72,Y54,CHILD_POPULATION,164806
30-Apr-18,NHS,15F,Q72,Y54,TOTAL,443524
30-Apr-18,NHS,15F,Q72,Y54,TOTAL_POPULATION,781743
30-Apr-18,NHS,00C,Q74,Y54,ADULT_24_months,48887
30-Apr-18,NHS,00C,Q74,Y54,ADULT_POPULATION,83127
30-Apr-18,NHS,00C,Q74,Y54,CHILD_12_months,14792
30-Apr-18,NHS,00C,Q74,Y54,CHILD_POPULATION,22519
30-Apr-18,NHS,00C,Q74,Y54,TOTAL,63679
30-Apr-18,NHS,00C,Q74,Y54,TOTAL_POPULATION,105646
30-Apr-18,NHS,00D,Q74,Y54,ADULT_24_months,117592
30-Apr-18,NHS,00D,Q74,Y54,ADULT_POPULATION,219816
30-Apr-18,NHS,00D,Q74,Y54,CHILD_12_months,29588
30-Apr-18,NHS,00D,Q74,Y54,CHILD_POPULATION,54778
30-Apr-18,NHS,00D,Q74,Y54,TOTAL,147180
30-Apr-18,NHS,00D,Q74,Y54,TOTAL_POPULATION,274594
30-Apr-18,NHS,00J,Q74,Y54,ADULT_24_months,103622
30-Apr-18,NHS,00J,Q74,Y54,ADULT_POPULATION,202037
30-Apr-18,NHS,00J,Q74,Y54,CHILD_12_months,26427
30-Apr-18,NHS,00J,Q74,Y54,CHILD_POPULATION,45512
30-Apr-18,NHS,00J,Q74,Y54,TOTAL,130049
30-Apr-18,NHS,00J,Q74,Y54,TOTAL_POPULATION,247549
30-Apr-18,NHS,00K,Q74,Y54,ADULT_24_months,126372
30-Apr-18,NHS,00K,Q74,Y54,ADULT_POPULATION,225519
30-Apr-18,NHS,00K,Q74,Y54,CHILD_12_months,38672
30-Apr-18,NHS,00K,Q74,Y54,CHILD_POPULATION,62979
30-Apr-18,NHS,00K,Q74,Y54,TOTAL,165044
30-Apr-18,NHS,00K,Q74,Y54,TOTAL_POPULATION,288498
30-Apr-18,NHS,00L,Q74,Y54,ADULT_24_months,145764
30-Apr-18,NHS,00L,Q74,Y54,ADULT_POPULATION,257026
30-Apr-18,NHS,00L,Q74,Y54,CHILD_12_months,37383
30-Apr-18,NHS,00L,Q74,Y54,CHILD_POPULATION,58976
30-Apr-18,NHS,00L,Q74,Y54,TOTAL,183147
30-Apr-18,NHS,00L,Q74,Y54,TOTAL_POPULATION,316002
30-Apr-18,NHS,00M,Q74,Y54,ADULT_24_months,138067
30-Apr-18,NHS,00M,Q74,Y54,ADULT_POPULATION,216304
30-Apr-18,NHS,00M,Q74,Y54,CHILD_12_months,39397
30-Apr-18,NHS,00M,Q74,Y54,CHILD_POPULATION,59498
30-Apr-18,NHS,00M,Q74,Y54,TOTAL,177464
30-Apr-18,NHS,00M,Q74,Y54,TOTAL_POPULATION,275802
30-Apr-18,NHS,00N,Q74,Y54,ADULT_24_months,95447
30-Apr-18,NHS,00N,Q74,Y54,ADULT_POPULATION,119907
30-Apr-18,NHS,00N,Q74,Y54,CHILD_12_months,24085
30-Apr-18,NHS,00N,Q74,Y54,CHILD_POPULATION,29511
30-Apr-18,NHS,00N,Q74,Y54,TOTAL,119532
30-Apr-18,NHS,00N,Q74,Y54,TOTAL_POPULATION,149418
30-Apr-18,NHS,00P,Q74,Y54,ADULT_24_months,116864
30-Apr-18,NHS,00P,Q74,Y54,ADULT_POPULATION,223702
30-Apr-18,NHS,00P,Q74,Y54,CHILD_12_months,30218
30-Apr-18,NHS,00P,Q74,Y54,CHILD_POPULATION,54260
30-Apr-18,NHS,00P,Q74,Y54,TOTAL,147082
30-Apr-18,NHS,00P,Q74,Y54,TOTAL_POPULATION,277962
30-Apr-18,NHS,01H,Q74,Y54,ADULT_24_months,119774
30-Apr-18,NHS,01H,Q74,Y54,ADULT_POPULATION,258171
30-Apr-18,NHS,01H,Q74,Y54,CHILD_12_months,35750
30-Apr-18,NHS,01H,Q74,Y54,CHILD_POPULATION,60058
30-Apr-18,NHS,01H,Q74,Y54,TOTAL,155524
30-Apr-18,NHS,01H,Q74,Y54,TOTAL_POPULATION,318229
30-Apr-18,NHS,13T,Q74,Y54,ADULT_24_months,232117
30-Apr-18,NHS,13T,Q74,Y54,ADULT_POPULATION,400973
30-Apr-18,NHS,13T,Q74,Y54,CHILD_12_months,62962
30-Apr-18,NHS,13T,Q74,Y54,CHILD_POPULATION,97097
30-Apr-18,NHS,13T,Q74,Y54,TOTAL,295079
30-Apr-18,NHS,13T,Q74,Y54,TOTAL_POPULATION,498070
30-Apr-18,NHS,99C,Q74,Y54,ADULT_24_months,90948
30-Apr-18,NHS,99C,Q74,Y54,ADULT_POPULATION,162698
30-Apr-18,NHS,99C,Q74,Y54,CHILD_12_months,24665
30-Apr-18,NHS,99C,Q74,Y54,CHILD_POPULATION,40609
30-Apr-18,NHS,99C,Q74,Y54,TOTAL,115613
30-Apr-18,NHS,99C,Q74,Y54,TOTAL_POPULATION,203307
30-Apr-18,NHS,01C,Q75,Y54,ADULT_24_months,102138
30-Apr-18,NHS,01C,Q75,Y54,ADULT_POPULATION,158049
30-Apr-18,NHS,01C,Q75,Y54,CHILD_12_months,30574
30-Apr-18,NHS,01C,Q75,Y54,CHILD_POPULATION,38820
30-Apr-18,NHS,01C,Q75,Y54,TOTAL,132712
30-Apr-18,NHS,01C,Q75,Y54,TOTAL_POPULATION,196869
30-Apr-18,NHS,01F,Q75,Y54,ADULT_24_months,52576
30-Apr-18,NHS,01F,Q75,Y54,ADULT_POPULATION,98566
30-Apr-18,NHS,01F,Q75,Y54,CHILD_12_months,14522
30-Apr-18,NHS,01F,Q75,Y54,CHILD_POPULATION,28337
30-Apr-18,NHS,01F,Q75,Y54,TOTAL,67098
30-Apr-18,NHS,01F,Q75,Y54,TOTAL_POPULATION,126903
30-Apr-18,NHS,01J,Q75,Y54,ADULT_24_months,69147
30-Apr-18,NHS,01J,Q75,Y54,ADULT_POPULATION,115206
30-Apr-18,NHS,01J,Q75,Y54,CHILD_12_months,18239
30-Apr-18,NHS,01J,Q75,Y54,CHILD_POPULATION,32709
30-Apr-18,NHS,01J,Q75,Y54,TOTAL,87386
30-Apr-18,NHS,01J,Q75,Y54,TOTAL_POPULATION,147915
30-Apr-18,NHS,01R,Q75,Y54,ADULT_24_months,79845
30-Apr-18,NHS,01R,Q75,Y54,ADULT_POPULATION,143223
30-Apr-18,NHS,01R,Q75,Y54,CHILD_12_months,22972
30-Apr-18,NHS,01R,Q75,Y54,CHILD_POPULATION,36603
30-Apr-18,NHS,01R,Q75,Y54,TOTAL,102817
30-Apr-18,NHS,01R,Q75,Y54,TOTAL_POPULATION,179826
30-Apr-18,NHS,01T,Q75,Y54,ADULT_24_months,77826
30-Apr-18,NHS,01T,Q75,Y54,ADULT_POPULATION,127015
30-Apr-18,NHS,01T,Q75,Y54,CHILD_12_months,18344
30-Apr-18,NHS,01T,Q75,Y54,CHILD_POPULATION,31863
30-Apr-18,NHS,01T,Q75,Y54,TOTAL,96170
30-Apr-18,NHS,01T,Q75,Y54,TOTAL_POPULATION,158878
30-Apr-18,NHS,01V,Q75,Y54,ADULT_24_months,64909
30-Apr-18,NHS,01V,Q75,Y54,ADULT_POPULATION,93887
30-Apr-18,NHS,01V,Q75,Y54,CHILD_12_months,15397
30-Apr-18,NHS,01V,Q75,Y54,CHILD_POPULATION,21496
30-Apr-18,NHS,01V,Q75,Y54,TOTAL,80306
30-Apr-18,NHS,01V,Q75,Y54,TOTAL_POPULATION,115383
30-Apr-18,NHS,01X,Q75,Y54,ADULT_24_months,91431
30-Apr-18,NHS,01X,Q75,Y54,ADULT_POPULATION,142091
30-Apr-18,NHS,01X,Q75,Y54,CHILD_12_months,24374
30-Apr-18,NHS,01X,Q75,Y54,CHILD_POPULATION,36364
30-Apr-18,NHS,01X,Q75,Y54,TOTAL,115805
30-Apr-18,NHS,01X,Q75,Y54,TOTAL_POPULATION,178455
30-Apr-18,NHS,02D,Q75,Y54,ADULT_24_months,42215
30-Apr-18,NHS,02D,Q75,Y54,ADULT_POPULATION,81890
30-Apr-18,NHS,02D,Q75,Y54,CHILD_12_months,14349
30-Apr-18,NHS,02D,Q75,Y54,CHILD_POPULATION,21812
30-Apr-18,NHS,02D,Q75,Y54,TOTAL,56564
30-Apr-18,NHS,02D,Q75,Y54,TOTAL_POPULATION,103702
30-Apr-18,NHS,02E,Q75,Y54,ADULT_24_months,93112
30-Apr-18,NHS,02E,Q75,Y54,ADULT_POPULATION,164147
30-Apr-18,NHS,02E,Q75,Y54,CHILD_12_months,27004
30-Apr-18,NHS,02E,Q75,Y54,CHILD_POPULATION,44662
30-Apr-18,NHS,02E,Q75,Y54,TOTAL,120116
30-Apr-18,NHS,02E,Q75,Y54,TOTAL_POPULATION,208809
30-Apr-18,NHS,02F,Q75,Y54,ADULT_24_months,127305
30-Apr-18,NHS,02F,Q75,Y54,ADULT_POPULATION,187219
30-Apr-18,NHS,02F,Q75,Y54,CHILD_12_months,34871
30-Apr-18,NHS,02F,Q75,Y54,CHILD_POPULATION,44759
30-Apr-18,NHS,02F,Q75,Y54,TOTAL,162176
30-Apr-18,NHS,02F,Q75,Y54,TOTAL_POPULATION,231978
30-Apr-18,NHS,12F,Q75,Y54,ADULT_24_months,155779
30-Apr-18,NHS,12F,Q75,Y54,ADULT_POPULATION,253609
30-Apr-18,NHS,12F,Q75,Y54,CHILD_12_months,41298
30-Apr-18,NHS,12F,Q75,Y54,CHILD_POPULATION,67629
30-Apr-18,NHS,12F,Q75,Y54,TOTAL,197077
30-Apr-18,NHS,12F,Q75,Y54,TOTAL_POPULATION,321238
30-Apr-18,NHS,99A,Q75,Y54,ADULT_24_months,197953
30-Apr-18,NHS,99A,Q75,Y54,ADULT_POPULATION,392637
30-Apr-18,NHS,99A,Q75,Y54,CHILD_12_months,54502
30-Apr-18,NHS,99A,Q75,Y54,CHILD_POPULATION,91941
30-Apr-18,NHS,99A,Q75,Y54,TOTAL,252455
30-Apr-18,NHS,99A,Q75,Y54,TOTAL_POPULATION,484578
30-Apr-18,NHS,00T,Q83,Y54,ADULT_24_months,112090
30-Apr-18,NHS,00T,Q83,Y54,ADULT_POPULATION,216197
30-Apr-18,NHS,00T,Q83,Y54,CHILD_12_months,43920
30-Apr-18,NHS,00T,Q83,Y54,CHILD_POPULATION,66918
30-Apr-18,NHS,00T,Q83,Y54,TOTAL,156010
30-Apr-18,NHS,00T,Q83,Y54,TOTAL_POPULATION,283115
30-Apr-18,NHS,00V,Q83,Y54,ADULT_24_months,77521
30-Apr-18,NHS,00V,Q83,Y54,ADULT_POPULATION,145790
30-Apr-18,NHS,00V,Q83,Y54,CHILD_12_months,26032
30-Apr-18,NHS,00V,Q83,Y54,CHILD_POPULATION,42879
30-Apr-18,NHS,00V,Q83,Y54,TOTAL,103553
30-Apr-18,NHS,00V,Q83,Y54,TOTAL_POPULATION,188669
30-Apr-18,NHS,00Y,Q83,Y54,ADULT_24_months,100464
30-Apr-18,NHS,00Y,Q83,Y54,ADULT_POPULATION,173922
30-Apr-18,NHS,00Y,Q83,Y54,CHILD_12_months,36458
30-Apr-18,NHS,00Y,Q83,Y54,CHILD_POPULATION,58802
30-Apr-18,NHS,00Y,Q83,Y54,TOTAL,136922
30-Apr-18,NHS,00Y,Q83,Y54,TOTAL_POPULATION,232724
30-Apr-18,NHS,01D,Q83,Y54,ADULT_24_months,97982
30-Apr-18,NHS,01D,Q83,Y54,ADULT_POPULATION,164702
30-Apr-18,NHS,01D,Q83,Y54,CHILD_12_months,33704
30-Apr-18,NHS,01D,Q83,Y54,CHILD_POPULATION,51463
30-Apr-18,NHS,01D,Q83,Y54,TOTAL,131686
30-Apr-18,NHS,01D,Q83,Y54,TOTAL_POPULATION,216165
30-Apr-18,NHS,01G,Q83,Y54,ADULT_24_months,105336
30-Apr-18,NHS,01G,Q83,Y54,ADULT_POPULATION,193845
30-Apr-18,NHS,01G,Q83,Y54,CHILD_12_months,34282
30-Apr-18,NHS,01G,Q83,Y54,CHILD_POPULATION,54881
30-Apr-18,NHS,01G,Q83,Y54,TOTAL,139618
30-Apr-18,NHS,01G,Q83,Y54,TOTAL_POPULATION,248726
30-Apr-18,NHS,01W,Q83,Y54,ADULT_24_months,137263
30-Apr-18,NHS,01W,Q83,Y54,ADULT_POPULATION,228185
30-Apr-18,NHS,01W,Q83,Y54,CHILD_12_months,40053
30-Apr-18,NHS,01W,Q83,Y54,CHILD_POPULATION,62372
30-Apr-18,NHS,01W,Q83,Y54,TOTAL,177316
30-Apr-18,NHS,01W,Q83,Y54,TOTAL_POPULATION,290557
30-Apr-18,NHS,01Y,Q83,Y54,ADULT_24_months,112225
30-Apr-18,NHS,01Y,Q83,Y54,ADULT_POPULATION,200184
30-Apr-18,NHS,01Y,Q83,Y54,CHILD_12_months,34586
30-Apr-18,NHS,01Y,Q83,Y54,CHILD_POPULATION,56240
30-Apr-18,NHS,01Y,Q83,Y54,TOTAL,146811
30-Apr-18,NHS,01Y,Q83,Y54,TOTAL_POPULATION,256424
30-Apr-18,NHS,02A,Q83,Y54,ADULT_24_months,101357
30-Apr-18,NHS,02A,Q83,Y54,ADULT_POPULATION,179719
30-Apr-18,NHS,02A,Q83,Y54,CHILD_12_months,37046
30-Apr-18,NHS,02A,Q83,Y54,CHILD_POPULATION,54954
30-Apr-18,NHS,02A,Q83,Y54,TOTAL,138403
30-Apr-18,NHS,02A,Q83,Y54,TOTAL_POPULATION,234673
30-Apr-18,NHS,02H,Q83,Y54,ADULT_24_months,153956
30-Apr-18,NHS,02H,Q83,Y54,ADULT_POPULATION,255225
30-Apr-18,NHS,02H,Q83,Y54,CHILD_12_months,44168
30-Apr-18,NHS,02H,Q83,Y54,CHILD_POPULATION,67835
30-Apr-18,NHS,02H,Q83,Y54,TOTAL,198124
30-Apr-18,NHS,02H,Q83,Y54,TOTAL_POPULATION,323060
30-Apr-18,NHS,14L,Q83,Y54,ADULT_24_months,220071
30-Apr-18,NHS,14L,Q83,Y54,ADULT_POPULATION,421438
30-Apr-18,NHS,14L,Q83,Y54,CHILD_12_months,76488
30-Apr-18,NHS,14L,Q83,Y54,CHILD_POPULATION,119825
30-Apr-18,NHS,14L,Q83,Y54,TOTAL,296559
30-Apr-18,NHS,14L,Q83,Y54,TOTAL_POPULATION,541263
30-Apr-18,NHS,00Q,Q84,Y54,ADULT_24_months,61696
30-Apr-18,NHS,00Q,Q84,Y54,ADULT_POPULATION,108666
30-Apr-18,NHS,00Q,Q84,Y54,CHILD_12_months,26051
30-Apr-18,NHS,00Q,Q84,Y54,CHILD_POPULATION,38383
30-Apr-18,NHS,00Q,Q84,Y54,TOTAL,87747
30-Apr-18,NHS,00Q,Q84,Y54,TOTAL_POPULATION,147049
30-Apr-18,NHS,00R,Q84,Y54,ADULT_24_months,63909
30-Apr-18,NHS,00R,Q84,Y54,ADULT_POPULATION,110590
30-Apr-18,NHS,00R,Q84,Y54,CHILD_12_months,15588
30-Apr-18,NHS,00R,Q84,Y54,CHILD_POPULATION,28605
30-Apr-18,NHS,00R,Q84,Y54,TOTAL,79497
30-Apr-18,NHS,00R,Q84,Y54,TOTAL_POPULATION,139195
30-Apr-18,NHS,00X,Q84,Y54,ADULT_24_months,74898
30-Apr-18,NHS,00X,Q84,Y54,ADULT_POPULATION,138006
30-Apr-18,NHS,00X,Q84,Y54,CHILD_12_months,25349
30-Apr-18,NHS,00X,Q84,Y54,CHILD_POPULATION,36291
30-Apr-18,NHS,00X,Q84,Y54,TOTAL,100247
30-Apr-18,NHS,00X,Q84,Y54,TOTAL_POPULATION,174297
30-Apr-18,NHS,01A,Q84,Y54,ADULT_24_months,157813
30-Apr-18,NHS,01A,Q84,Y54,ADULT_POPULATION,291497
30-Apr-18,NHS,01A,Q84,Y54,CHILD_12_months,53076
30-Apr-18,NHS,01A,Q84,Y54,CHILD_POPULATION,84316
30-Apr-18,NHS,01A,Q84,Y54,TOTAL,210889
30-Apr-18,NHS,01A,Q84,Y54,TOTAL_POPULATION,375813
30-Apr-18,NHS,01E,Q84,Y54,ADULT_24_months,76475
30-Apr-18,NHS,01E,Q84,Y54,ADULT_POPULATION,159201
30-Apr-18,NHS,01E,Q84,Y54,CHILD_12_months,24782
30-Apr-18,NHS,01E,Q84,Y54,CHILD_POPULATION,42774
30-Apr-18,NHS,01E,Q84,Y54,TOTAL,101257
30-Apr-18,NHS,01E,Q84,Y54,TOTAL_POPULATION,201975
30-Apr-18,NHS,01K,Q84,Y54,ADULT_24_months,129674
30-Apr-18,NHS,01K,Q84,Y54,ADULT_POPULATION,268524
30-Apr-18,NHS,01K,Q84,Y54,CHILD_12_months,35984
30-Apr-18,NHS,01K,Q84,Y54,CHILD_POPULATION,60731
30-Apr-18,NHS,01K,Q84,Y54,TOTAL,165658
30-Apr-18,NHS,01K,Q84,Y54,TOTAL_POPULATION,329255
30-Apr-18,NHS,02G,Q84,Y54,ADULT_24_months,47056
30-Apr-18,NHS,02G,Q84,Y54,ADULT_POPULATION,91331
30-Apr-18,NHS,02G,Q84,Y54,CHILD_12_months,14373
30-Apr-18,NHS,02G,Q84,Y54,CHILD_POPULATION,22070
30-Apr-18,NHS,02G,Q84,Y54,TOTAL,61429
30-Apr-18,NHS,02G,Q84,Y54,TOTAL_POPULATION,113401
30-Apr-18,NHS,02M,Q84,Y54,ADULT_24_months,94891
30-Apr-18,NHS,02M,Q84,Y54,ADULT_POPULATION,155604
30-Apr-18,NHS,02M,Q84,Y54,CHILD_12_months,22628
30-Apr-18,NHS,02M,Q84,Y54,CHILD_POPULATION,34191
30-Apr-18,NHS,02M,Q84,Y54,TOTAL,117519
30-Apr-18,NHS,02M,Q84,Y54,TOTAL_POPULATION,189795
30-Apr-18,NHS,03X,Q76,Y55,ADULT_24_months,51223
30-Apr-18,NHS,03X,Q76,Y55,ADULT_POPULATION,77030
30-Apr-18,NHS,03X,Q76,Y55,CHILD_12_months,12926
30-Apr-18,NHS,03X,Q76,Y55,CHILD_POPULATION,19699
30-Apr-18,NHS,03X,Q76,Y55,TOTAL,64149
30-Apr-18,NHS,03X,Q76,Y55,TOTAL_POPULATION,96729
30-Apr-18,NHS,03Y,Q76,Y55,ADULT_24_months,39747
30-Apr-18,NHS,03Y,Q76,Y55,ADULT_POPULATION,89539
30-Apr-18,NHS,03Y,Q76,Y55,CHILD_12_months,10935
30-Apr-18,NHS,03Y,Q76,Y55,CHILD_POPULATION,21863
